"filename", "language", "JavaScript", "CSS", "JavaScript JSX", "XML", "comment", "blank", "total"
"c:\Users\Lars\Documents\Code\3d_portfolio\src\App.jsx", "JavaScript JSX", 0, 0, 24, 0, 0, 4, 28
"c:\Users\Lars\Documents\Code\3d_portfolio\src\assets\close.svg", "XML", 0, 0, 0, 3, 0, 0, 3
"c:\Users\Lars\Documents\Code\3d_portfolio\src\assets\index.js", "JavaScript", 52, 0, 0, 0, 0, 5, 57
"c:\Users\Lars\Documents\Code\3d_portfolio\src\assets\logo.svg", "XML", 0, 0, 0, 1, 0, 0, 1
"c:\Users\Lars\Documents\Code\3d_portfolio\src\assets\menu.svg", "XML", 0, 0, 0, 3, 0, 0, 3
"c:\Users\Lars\Documents\Code\3d_portfolio\src\assets\tech\threejs.svg", "XML", 0, 0, 0, 11, 0, 1, 12
"c:\Users\Lars\Documents\Code\3d_portfolio\src\components\About.jsx", "JavaScript JSX", 0, 0, 58, 0, 0, 8, 66
"c:\Users\Lars\Documents\Code\3d_portfolio\src\components\Contact.jsx", "JavaScript JSX", 0, 0, 122, 0, 0, 16, 138
"c:\Users\Lars\Documents\Code\3d_portfolio\src\components\Experience.jsx", "JavaScript JSX", 0, 0, 78, 0, 0, 8, 86
"c:\Users\Lars\Documents\Code\3d_portfolio\src\components\Feedbacks.jsx", "JavaScript JSX", 0, 0, 59, 0, 0, 8, 67
"c:\Users\Lars\Documents\Code\3d_portfolio\src\components\Hero.jsx", "JavaScript JSX", 0, 0, 44, 0, 0, 7, 51
"c:\Users\Lars\Documents\Code\3d_portfolio\src\components\Loader.jsx", "JavaScript JSX", 0, 0, 29, 0, 0, 3, 32
"c:\Users\Lars\Documents\Code\3d_portfolio\src\components\Navbar.jsx", "JavaScript JSX", 0, 0, 92, 0, 0, 11, 103
"c:\Users\Lars\Documents\Code\3d_portfolio\src\components\Tech.jsx", "JavaScript JSX", 0, 0, 16, 0, 0, 4, 20
"c:\Users\Lars\Documents\Code\3d_portfolio\src\components\Works.jsx", "JavaScript JSX", 0, 0, 91, 0, 0, 10, 101
"c:\Users\Lars\Documents\Code\3d_portfolio\src\components\canvas\Ball.jsx", "JavaScript JSX", 0, 0, 55, 0, 0, 7, 62
"c:\Users\Lars\Documents\Code\3d_portfolio\src\components\canvas\Computers.jsx", "JavaScript JSX", 0, 0, 62, 0, 5, 13, 80
"c:\Users\Lars\Documents\Code\3d_portfolio\src\components\canvas\Earth.jsx", "JavaScript JSX", 0, 0, 39, 0, 0, 7, 46
"c:\Users\Lars\Documents\Code\3d_portfolio\src\components\canvas\Stars.jsx", "JavaScript JSX", 0, 0, 38, 0, 0, 8, 46
"c:\Users\Lars\Documents\Code\3d_portfolio\src\components\canvas\index.js", "JavaScript", 5, 0, 0, 0, 0, 2, 7
"c:\Users\Lars\Documents\Code\3d_portfolio\src\components\index.js", "JavaScript", 25, 0, 0, 0, 0, 3, 28
"c:\Users\Lars\Documents\Code\3d_portfolio\src\constants\index.js", "JavaScript", 194, 0, 0, 0, 0, 9, 203
"c:\Users\Lars\Documents\Code\3d_portfolio\src\hoc\SectionWrapper.jsx", "JavaScript JSX", 0, 0, 21, 0, 0, 5, 26
"c:\Users\Lars\Documents\Code\3d_portfolio\src\hoc\index.js", "JavaScript", 2, 0, 0, 0, 0, 2, 4
"c:\Users\Lars\Documents\Code\3d_portfolio\src\index.css", "CSS", 0, 190, 0, 0, 2, 13, 205
"c:\Users\Lars\Documents\Code\3d_portfolio\src\main.jsx", "JavaScript JSX", 0, 0, 7, 0, 0, 3, 10
"c:\Users\Lars\Documents\Code\3d_portfolio\src\styles.js", "JavaScript", 14, 0, 0, 0, 0, 4, 18
"c:\Users\Lars\Documents\Code\3d_portfolio\src\utils\motion.js", "JavaScript", 84, 0, 0, 0, 0, 5, 89
"Total", "-", 376, 190, 835, 18, 7, 166, 1592